epoch,accuracy,loss
7,0.84375,0.11078114062547684
8,0.859375,0.11048020422458649
9,0.875,0.10987550765275955
0,0.84375,0.11884602159261703
1,0.84375,0.11688901484012604
2,0.859375,0.1126663088798523
3,0.84375,0.10917815566062927
4,0.8125,0.10771159082651138
5,0.8125,0.10747629404067993
6,0.8125,0.10786561667919159
7,0.8125,0.10787727683782578
8,0.84375,0.10781832039356232
9,0.875,0.10726170241832733
0,0.890625,0.11027511209249496
1,0.875,0.10761984437704086
2,0.890625,0.10262685269117355
3,0.875,0.09884588420391083
4,0.90625,0.09708990156650543
5,0.84375,0.09737424552440643
6,0.84375,0.0986996442079544
7,0.84375,0.09951905906200409
8,0.90625,0.09904716163873672
9,0.890625,0.09755610674619675
0,0.890625,0.11125954985618591
1,0.890625,0.10877498984336853
2,0.890625,0.1055346354842186
3,0.875,0.10087493062019348
4,0.859375,0.09764403849840164
5,0.84375,0.0987093597650528
6,0.84375,0.09985511004924774
7,0.84375,0.09941510856151581
8,0.875,0.09838488698005676
9,0.875,0.09680886566638947
0,0.859375,0.12596702575683594
1,0.859375,0.1226608082652092
2,0.859375,0.1208408772945404
3,0.875,0.1139587014913559
4,0.84375,0.11240807175636292
5,0.84375,0.11321462690830231
6,0.8125,0.11444980651140213
7,0.84375,0.11484596133232117
8,0.84375,0.11352814733982086
9,0.875,0.11071409285068512
0,0.875,0.12185914069414139
1,0.875,0.11989981681108475
2,0.875,0.1162155270576477
3,0.875,0.112143874168396
4,0.84375,0.10851317644119263
5,0.828125,0.10823215544223785
6,0.828125,0.10959068685770035
7,0.828125,0.1104651466012001
8,0.84375,0.10978920757770538
9,0.875,0.10817943513393402
0,0.890625,0.10508070141077042
1,0.890625,0.10210351645946503
2,0.890625,0.09986065328121185
3,0.890625,0.09328260272741318
4,0.890625,0.09141259640455246
5,0.859375,0.0922098457813263
6,0.859375,0.09377628564834595
7,0.859375,0.09452052414417267
8,0.859375,0.09277306497097015
9,0.859375,0.09122110158205032
0,0.890625,0.11906450241804123
1,0.890625,0.11362378299236298
2,0.890625,0.10761725902557373
3,0.890625,0.10810759663581848
4,0.890625,0.10613933205604553
5,0.890625,0.10423299670219421
6,0.828125,0.10442975163459778
7,0.796875,0.10552564263343811
8,0.796875,0.10478278994560242
9,0.828125,0.10216601192951202
0,0.875,0.13431555032730103
1,0.859375,0.12979839742183685
2,0.859375,0.1303059160709381
3,0.875,0.1225583627820015
4,0.875,0.11981024593114853
5,0.84375,0.12115868926048279
6,0.796875,0.123353511095047
7,0.796875,0.12281335890293121
8,0.859375,0.11934475600719452
9,0.890625,0.11610899865627289
0,0.890625,0.13150407373905182
1,0.890625,0.1274382770061493
2,0.890625,0.12682360410690308
3,0.890625,0.12243901193141937
4,0.890625,0.11827840656042099
5,0.890625,0.11720508337020874
6,0.890625,0.11845588684082031
7,0.875,0.11896899342536926
8,0.78125,0.11801423132419586
9,0.859375,0.1147514060139656
0,0.90625,0.11550527811050415
1,0.90625,0.1107260212302208
2,0.90625,0.11009784042835236
3,0.90625,0.10895387828350067
4,0.828125,0.1031605526804924
5,0.828125,0.10071888566017151
6,0.8125,0.1052166074514389
7,0.8125,0.10544391721487045
8,0.828125,0.10050204396247864
9,0.828125,0.09971363097429276
0,0.859375,0.1376943290233612
1,0.859375,0.12923917174339294
2,0.796875,0.13143441081047058
3,0.796875,0.1303028166294098
4,0.859375,0.12193233519792557
5,0.859375,0.12223559617996216
6,0.859375,0.12637022137641907
7,0.859375,0.12370811402797699
8,0.8125,0.11928533762693405
9,0.8125,0.11946368217468262
0,0.890625,0.15199247002601624
1,0.90625,0.14410600066184998
2,0.875,0.1417219489812851
3,0.890625,0.1421501338481903
4,0.890625,0.13660314679145813
5,0.90625,0.13449782133102417
6,0.890625,0.13729852437973022
7,0.890625,0.13649016618728638
8,0.890625,0.1310078203678131
9,0.890625,0.12919270992279053
0,0.890625,0.1868366003036499
1,0.890625,0.1771065890789032
2,0.875,0.17458108067512512
3,0.890625,0.16828393936157227
4,0.875,0.16377893090248108
5,0.875,0.16579535603523254
6,0.890625,0.17155137658119202
7,0.828125,0.16400359570980072
8,0.828125,0.16231825947761536
9,0.875,0.16227932274341583
0,0.875,0.17970915138721466
1,0.875,0.17496520280838013
2,0.875,0.1701548844575882
3,0.875,0.16841551661491394
4,0.875,0.16360513865947723
5,0.875,0.16044802963733673
6,0.875,0.1629117727279663
7,0.84375,0.1625557392835617
8,0.84375,0.1595175564289093
9,0.859375,0.15750150382518768
0,0.890625,0.13964858651161194
1,0.890625,0.13261516392230988
2,0.890625,0.13258096575737
3,0.890625,0.12956607341766357
4,0.890625,0.12326084822416306
5,0.890625,0.12416867911815643
6,0.890625,0.1263338029384613
7,0.890625,0.12356482446193695
8,0.859375,0.12185852229595184
9,0.875,0.12193088233470917
0,0.890625,0.15262997150421143
1,0.890625,0.14636200666427612
2,0.890625,0.14277274906635284
3,0.859375,0.14218883216381073
4,0.890625,0.13677135109901428
5,0.890625,0.13360828161239624
6,0.890625,0.13611435890197754
7,0.890625,0.13677799701690674
8,0.890625,0.1348153054714203
9,0.890625,0.13528043031692505
0,0.90625,0.18185070157051086
1,0.90625,0.1692713052034378
2,0.90625,0.1703043431043625
3,0.90625,0.16959771513938904
4,0.890625,0.1618046909570694
5,0.890625,0.16222375631332397
6,0.890625,0.16562053561210632
7,0.890625,0.16175231337547302
8,0.90625,0.15855857729911804
9,0.90625,0.16027997434139252
0,0.890625,0.2045014500617981
1,0.875,0.19479316473007202
2,0.875,0.19092735648155212
3,0.875,0.19064582884311676
4,0.875,0.18387138843536377
5,0.875,0.17929047346115112
6,0.875,0.18326251208782196
7,0.875,0.18657344579696655
8,0.875,0.18290084600448608
9,0.875,0.17981350421905518
0,0.890625,0.1917661726474762
1,0.890625,0.17789936065673828
2,0.890625,0.18600860238075256
3,0.890625,0.1815711408853531
4,0.890625,0.16697408258914948
5,0.859375,0.1666015386581421
6,0.890625,0.17175358533859253
7,0.890625,0.1664634346961975
